City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
494,Port Blair,IN,81.66,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
328,Caloundra,AU,80.01,clear sky,-26.8,153.1333,Watermark Resort Caloundra
197,Kalmunai,LK,77.63,overcast clouds,7.4167,81.8167,VS Villa
532,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
485,Koungou,YT,82.4,broken clouds,-12.7336,45.2042,Villa Netibor
44,Atuona,PF,80.56,clear sky,-9.8,-139.0333,Villa Enata
234,Manadhoo,MV,83.21,overcast clouds,5.7667,73.3833,Vevu Guesthouse
576,Grand Gaube,MU,75.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
81,Vanimo,PG,83.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
432,Nombre De Dios,MX,80.6,clear sky,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
386,Wau,SS,77.45,broken clouds,7.7029,27.9953,Universal Gab Hotel
396,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73,Ungoofaaru Inn
624,Ewa Beach,US,80.6,light rain,21.3156,-158.0072,Uncle Junior Robert
534,Chabahar,IR,80.98,clear sky,25.2919,60.643,هتل گدروشیا
148,Mareeba,AU,75.2,moderate rain,-17,145.4333,Trinity Plains Tourist Park
575,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
12,Sao Filipe,CV,72.86,overcast clouds,14.8961,-24.4956,Tortuga B&B
97,Singapore,SG,82.4,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
580,Port Hedland,AU,80.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
88,Kota Belud,MY,82.4,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
280,Alofi,NU,84.2,broken clouds,-19.0595,-169.9187,Taloa Heights
533,Maumere,ID,80.96,overcast clouds,-8.6199,122.2111,Sylvia Hotel
558,Turayf,SA,71.6,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
63,Manokwari,ID,81.61,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
647,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
613,Kanniyakumari,IN,80.51,overcast clouds,8.0833,77.5667,Sparsa
655,Manthani,IN,82.44,clear sky,18.65,79.6667,Social Welfare Boys Hostel
455,Balabac,PH,83.88,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
33,Kapaa,US,77,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
526,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
93,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Dingle,PH,83.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
279,Pali,IN,72.19,few clouds,25.7667,73.3333,Seervi Hostel
573,Itarema,BR,77.18,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
85,Hithadhoo,MV,82.35,broken clouds,-0.6,73.0833,Scoop Guest House
256,Rusera,IN,77.65,scattered clouds,25.75,86.0333,Santosh Hotel&Santosh resturent
187,Buritizeiro,BR,74.34,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
522,Salinopolis,BR,77.49,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Port Macquarie,AU,70,clear sky,-31.4333,152.9167,Rydges Port Macquarie
674,Juba,SS,74.57,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
258,Yurimaguas,PE,75.58,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
472,Takoradi,GH,80.24,overcast clouds,4.8845,-1.7554,Raybow International Hotel
566,Palora,EC,75.2,light rain,-1.7,-77.9333,Rancho grande
17,Muisne,EC,76.86,broken clouds,0.6,-80.0333,Quinta Samay
225,Bambanglipuro,ID,75.88,clear sky,-7.95,110.2833,Puri Brata
107,Labuhan,ID,77.27,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
53,Vernon,CA,70,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
106,Arraial Do Cabo,BR,71.6,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
365,Sao Joao Da Barra,BR,71.33,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
174,Belmonte,BR,75.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
411,Caravelas,BR,72.48,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
369,Tamandare,BR,78.19,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
397,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
692,Puerto Ayacucho,VE,80.73,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
420,Waingapu,ID,79,clear sky,-9.6567,120.2641,Pondok Wisata Elim
553,Cap Malheureux,MU,75.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
267,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
2,Rikitea,PF,77.5,clear sky,-23.1203,-134.9692,Pension Maro'i
215,Atambua,ID,76.06,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
11,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
693,Cam Ranh,VN,80.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
40,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
91,Mahibadhoo,MV,82.78,broken clouds,3.7833,72.9667,Omadhoo Inn
402,Dapdap,PH,82.85,overcast clouds,12.062,125.4881,Oasis Lodge
70,Kavieng,PG,83.57,light rain,-2.5744,150.7967,Nusa Island Retreat
160,Samarai,PG,84.18,broken clouds,-10.6167,150.6667,Nuli Sapi
382,Aswan,EG,84.72,scattered clouds,24.0934,32.907,Nuba Nile
282,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
239,Balsas,BR,73.22,overcast clouds,-7.5325,-46.0356,Novo Hotel
165,Tomatlan,MX,81.45,clear sky,19.9333,-105.25,Norma franco
471,Kudahuvadhoo,MV,81.79,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
519,Betong,TH,78.28,broken clouds,5.7743,101.0723,New Cathay Hotel
387,Zhuhai,CN,80.01,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
545,Parakan,ID,78.48,few clouds,-6.4191,106.0081,Nandar
552,La Foa,NC,78.8,broken clouds,-21.7108,165.8276,Naina Park Resort
689,Neiafu,TO,84.2,scattered clouds,-18.65,-173.9833,Mystic Sands
103,Palauig,PH,81.97,overcast clouds,15.435,119.9045,Myhousebythesea
495,San Patricio,US,77,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
489,Innisfail,AU,78.01,light rain,-17.5333,146.0333,Moondarra Motel
236,Shwebo,MM,81.43,clear sky,22.5667,95.7,MOON SHINE Guest House
373,Martapura,ID,78.8,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
625,Nishihara,JP,73.4,broken clouds,26.1842,127.7558,Minshuku Agaihama
22,Victoria,HK,75,scattered clouds,22.2855,114.1577,Mini Hotel Central
405,Rockhampton,AU,78.8,clear sky,-23.3833,150.5,Mercure Rockhampton
227,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
486,Kahului,US,84.2,light rain,20.8947,-156.47,Maui Seaside Hotel
301,Bonito,BR,74.32,few clouds,-21.1211,-56.4819,Marruá Hotel
156,Gorontalo,ID,81.39,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
520,Cairns,AU,75.2,heavy intensity rain,-16.9167,145.7667,Mantra Trilogy Cairns
84,Fare,PF,82.2,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
303,Russell,US,73.4,clear sky,32.3502,-85.1999,Macs
252,Lorengau,PG,84.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
284,Belawan,ID,77,mist,3.7755,98.6832,Lilik Hidayat Pulungan
76,Mayumba,GA,77.95,broken clouds,-3.432,10.6554,LIKWALE LODGE
29,Tiarei,PF,78.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
47,Moerai,PF,76.39,light rain,-22.4333,-151.3333,Le Manotel
429,Safaga,EG,78.8,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
504,Sassandra,CI,80.11,broken clouds,4.95,-6.0833,la terrasse
562,Katobu,ID,80.58,overcast clouds,-4.9408,122.5276,La Ode Husein
260,Jhanjharpur,IN,77.31,scattered clouds,26.2667,86.2833,Krishna Sweets
435,Meulaboh,ID,79.59,broken clouds,4.1363,96.1285,Kost Pria
290,Bontang,ID,78.1,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
285,Buchanan,LR,78.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
212,Bandarbeyla,SO,81,light rain,9.4942,50.8122,JABIR HOTEL
5,Butaritari,KI,81.97,light rain,3.0707,172.7902,Isles Sunset Lodge
581,Mackay,AU,80.6,broken clouds,-21.15,149.2,International Lodge Motel
291,Wewak,PG,82.8,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
651,Daloa,CI,74.59,moderate rain,6.8774,-6.4502,Imans Hotel Daloa
609,Karratha,AU,81.34,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
518,Balikpapan,ID,77.22,overcast clouds,-1.2675,116.8289,ibis Balikpapan
401,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
351,Kavaratti,IN,83.57,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
114,Nago,JP,73.4,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
251,Kendari,ID,78.04,overcast clouds,-3.945,122.4989,Hotel Wixel
368,Uribia,CO,80.82,broken clouds,11.7139,-72.266,Hotel Uribia
633,Araguacu,BR,71.6,few clouds,-12.9306,-49.8264,Hotel Tocantins
648,Cabo San Lucas,MX,81,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
410,Sibolga,ID,80.1,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
444,Valsad,IN,78.8,overcast clouds,20.6333,72.9333,Hotel Sunshine
632,Chajul,GT,75.2,overcast clouds,15.4853,-91.0342,Hotel San Gaspar
324,Tura,IN,75.38,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
417,Villamontes,BO,76.41,overcast clouds,-21.25,-63.5,Hotel Raldes
470,Lazaro Cardenas,MX,77.34,clear sky,17.9583,-102.2,Hotel Quinta Antigua
586,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
640,Catemaco,MX,80.6,few clouds,18.4167,-95.1167,Hotel Playa Cristal
536,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
630,Itupiranga,BR,73.54,overcast clouds,-5.1347,-49.3267,Hotel Panorama
381,Puerto Quijarro,BO,79.43,broken clouds,-17.7833,-57.7667,Hotel palance
585,Maues,BR,72.81,overcast clouds,-3.3836,-57.7186,Hotel Miramar
388,Tucuman,AR,73.4,overcast clouds,-26.8241,-65.2226,HOTEL MIAMI
213,Akyab,MM,76.93,clear sky,20.15,92.9,Hotel Memory
399,Kapit,MY,80.35,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
100,Tecoanapa,MX,82.8,scattered clouds,16.5167,-98.75,Hotel Manglares
268,Puerto Baquerizo Moreno,EC,76.98,broken clouds,-0.9,-89.6,Hotel los Algarrobos
616,Ratnagiri,IN,78.57,broken clouds,16.9833,73.3,Hotel Landmark
476,Cumpas,MX,82.89,broken clouds,29.9833,-109.7833,Hotel La Palma
163,Vao,NC,73.36,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
348,Las Choapas,MX,80.6,few clouds,17.9333,-94.0833,Hotel Jysmak
646,Amahai,ID,82.92,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
145,Nova Londrina,BR,70.03,clear sky,-22.7658,-52.985,HOTEL FELICE
481,Bireun,ID,78.49,overcast clouds,5.203,96.7009,Hotel Fajar
337,Sao Miguel Do Araguaia,BR,71.65,clear sky,-13.275,-50.1628,Hotel Executivo Palace
426,Esqueda,MX,77.25,broken clouds,30.7167,-109.5833,Hotel Esqueda
501,Ombessa,CM,71.24,overcast clouds,4.603,11.2565,Hotel Elma**
376,Namibe,AO,80.13,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
383,Porto Velho,BR,77,light rain,-8.7619,-63.9039,Hotel Central
343,Cidreira,BR,70.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
419,Nuevitas,CU,82.4,broken clouds,21.5453,-77.2644,Hotel Caonaba
