City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Manono,CD,-7.3,27.4167,67.41,93,93,3.8,overcast clouds
1,Marsa Matruh,EG,31.3525,27.2453,60.8,67,75,12.66,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,77.5,72,3,3.04,clear sky
3,Ushuaia,AR,-54.8,-68.3,46.4,49,20,6.91,few clouds
4,Bodden Town,KY,19.2833,-81.25,82.99,74,20,10.36,few clouds
5,Butaritari,KI,3.0707,172.7902,81.97,77,87,18.97,light rain
6,Punta Arenas,CL,-53.15,-70.9167,41.0,70,0,12.66,clear sky
7,Albany,US,42.6001,-73.9662,50.0,54,95,8.3,overcast clouds
8,Airai,TL,-8.9266,125.4092,66.52,69,81,0.76,broken clouds
9,Ilulissat,GL,69.2167,-51.1,15.8,73,24,5.75,few clouds
10,Mataura,NZ,-46.1927,168.8643,57.99,85,31,5.01,scattered clouds
11,Avarua,CK,-21.2078,-159.775,80.6,69,75,11.5,light rain
12,Sao Filipe,CV,14.8961,-24.4956,72.86,73,100,9.35,overcast clouds
13,Nome,US,64.5011,-165.4064,37.4,52,1,5.75,clear sky
14,Port Alfred,ZA,-33.5906,26.891,66.15,82,77,13.09,broken clouds
15,Bengkulu,ID,-3.8004,102.2655,76.44,87,53,3.51,broken clouds
16,Yellowknife,CA,62.456,-114.3525,48.2,46,1,5.75,clear sky
17,Muisne,EC,0.6,-80.0333,76.86,83,61,4.79,broken clouds
18,Arcata,US,40.8665,-124.0828,57.99,82,90,12.66,overcast clouds
19,Bluff,NZ,-46.6,168.3333,57.99,85,74,5.01,broken clouds
20,Nikolskoye,RU,59.7035,30.7861,42.01,56,0,8.95,clear sky
21,Pisco,PE,-13.7,-76.2167,66.2,88,0,21.85,clear sky
22,Victoria,HK,22.2855,114.1577,75.0,76,33,1.01,scattered clouds
23,Raudeberg,NO,61.9875,5.1352,36.0,94,100,12.88,light rain
24,Beringovskiy,RU,63.05,179.3167,29.28,73,14,2.39,few clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,68.0,88,40,13.8,light rain
26,Imbituba,BR,-28.24,-48.6703,68.0,77,75,13.8,light rain
27,Kruisfontein,ZA,-34.0033,24.7314,59.0,94,32,1.01,scattered clouds
28,Bastia,FR,42.6667,9.3333,53.01,87,75,3.44,broken clouds
29,Tiarei,PF,-17.5333,-149.3333,78.8,89,75,13.8,light rain
30,Dingle,PH,10.9995,122.6711,83.48,70,100,9.42,overcast clouds
31,Chuy,UY,-33.6971,-53.4616,65.53,83,1,10.65,clear sky
32,Wenshang,CN,35.7275,116.4961,49.62,85,100,8.05,light rain
33,Kapaa,US,22.0752,-159.319,77.0,73,90,5.75,light rain
34,Paamiut,GL,61.994,-49.6678,28.78,90,9,11.14,clear sky
35,Port Elizabeth,ZA,-33.918,25.5701,60.8,94,0,8.05,clear sky
36,Baruun-Urt,MN,46.6806,113.2792,58.5,22,100,13.6,overcast clouds
37,Flin Flon,CA,54.7682,-101.865,39.2,48,90,4.61,overcast clouds
38,East London,ZA,-33.0153,27.9116,65.91,82,62,11.3,broken clouds
39,Busselton,AU,-33.65,115.3333,56.98,79,2,9.53,clear sky
40,Cockburn Town,TC,21.4612,-71.1419,78.8,78,20,13.8,few clouds
41,Revuca,SK,48.6835,20.1173,35.6,87,0,10.36,clear sky
42,Grindavik,IS,63.8424,-22.4338,37.4,81,75,6.91,broken clouds
43,Kodiak,US,57.79,-152.4072,44.6,76,90,12.66,haze
44,Atuona,PF,-9.8,-139.0333,80.56,72,5,17.76,clear sky
45,Gat,IL,31.61,34.7642,63.0,100,3,3.56,clear sky
46,Araouane,ML,18.9048,-3.5265,81.64,5,8,6.33,clear sky
47,Moerai,PF,-22.4333,-151.3333,76.39,75,55,20.69,light rain
48,Tateyama,JP,34.9833,139.8667,68.0,37,0,17.27,clear sky
49,Pevek,RU,69.7008,170.3133,31.12,68,18,20.36,few clouds
50,Severo-Kurilsk,RU,50.6789,156.125,34.86,95,99,20.49,overcast clouds
51,Tulsipur,NP,28.131,82.2973,74.93,22,100,6.06,overcast clouds
52,High Level,CA,58.5169,-117.136,59.0,31,1,10.36,clear sky
53,Vernon,CA,50.2581,-119.2691,70.0,18,2,3.44,clear sky
54,Lompoc,US,34.6391,-120.4579,55.4,71,59,10.36,broken clouds
55,Nuuk,GL,64.1835,-51.7216,28.4,100,90,12.66,overcast clouds
56,Vaini,TO,-21.2,-175.2,86.0,74,20,6.91,few clouds
57,New Norfolk,AU,-42.7826,147.0587,46.0,71,18,3.58,few clouds
58,Puerto Escondido,MX,15.85,-97.0667,84.2,74,40,5.75,scattered clouds
59,Nanortalik,GL,60.1432,-45.2371,34.56,79,100,7.29,overcast clouds
60,Fivizzano,IT,44.2383,10.126,50.0,79,33,1.99,scattered clouds
61,Barra Patuca,HN,15.8,-84.2833,80.69,79,99,12.86,overcast clouds
62,Anadyr,RU,64.75,177.4833,17.6,86,40,2.24,mist
63,Manokwari,ID,-0.8667,134.0833,81.61,73,92,3.47,overcast clouds
64,Fairbanks,US,64.8378,-147.7164,44.6,33,1,10.36,clear sky
65,Esperance,AU,-33.8667,121.9,55.4,100,75,5.75,broken clouds
66,Adrar,MR,20.5022,-10.0711,81.81,8,88,7.18,overcast clouds
67,La Romana,DO,18.4273,-68.9728,77.0,83,20,6.91,few clouds
68,Belyy Yar,RU,53.6039,91.3903,21.2,73,20,2.24,few clouds
69,Ketchikan,US,55.3422,-131.6461,57.2,54,1,14.97,clear sky
70,Kavieng,PG,-2.5744,150.7967,83.57,73,100,7.23,light rain
71,Elko,US,41.0002,-115.5012,64.4,13,1,7.52,clear sky
72,Ezerelis,LT,54.8833,23.6167,42.8,75,75,3.38,broken clouds
73,Panjakent,TJ,39.4952,67.6093,53.6,66,84,9.22,broken clouds
74,Norman Wells,CA,65.282,-126.8329,30.2,80,90,23.02,overcast clouds
75,Bethel,US,41.3712,-73.414,64.4,45,1,12.66,clear sky
76,Mayumba,GA,-3.432,10.6554,77.95,88,80,4.03,broken clouds
77,Young,UY,-32.6833,-57.6333,69.01,75,0,4.0,clear sky
78,Paducah,US,37.0834,-88.6001,41.0,70,90,18.41,light rain
79,Husavik,IS,66.0449,-17.3389,41.0,56,20,11.5,few clouds
80,Chokurdakh,RU,70.6333,147.9167,25.09,94,100,4.92,overcast clouds
81,Vanimo,PG,-2.6741,141.3028,83.35,69,100,1.61,overcast clouds
82,Ocampo,MX,21.65,-101.5,87.01,50,1,16.17,clear sky
83,Flinders,AU,-34.5833,150.8552,64.99,47,14,5.01,few clouds
84,Fare,PF,-16.7,-151.0167,82.2,70,34,10.47,scattered clouds
85,Hithadhoo,MV,-0.6,73.0833,82.35,66,64,6.29,broken clouds
86,Livingston,GB,55.9029,-3.5226,44.6,93,90,4.61,overcast clouds
87,Traverse City,US,44.7631,-85.6206,33.8,55,20,8.05,few clouds
88,Kota Belud,MY,6.351,116.4305,82.4,69,20,5.75,few clouds
89,Atagay,RU,55.1033,99.3875,21.6,64,32,9.1,scattered clouds
90,Logan,US,41.7355,-111.8344,55.0,19,1,6.91,clear sky
91,Mahibadhoo,MV,3.7833,72.9667,82.78,64,52,7.58,broken clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,90,6.62,overcast clouds
93,Mahebourg,MU,-20.4081,57.7,78.8,83,75,5.75,light rain
94,Manakara,MG,-22.1333,48.0167,68.58,85,98,5.03,light rain
95,Kaitangata,NZ,-46.2817,169.8464,61.43,52,9,3.83,clear sky
96,Hobart,AU,-42.8794,147.3294,48.99,57,20,13.8,few clouds
97,Singapore,SG,1.2897,103.8501,82.4,83,75,4.61,broken clouds
98,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,77,40,14.97,scattered clouds
99,Hermanus,ZA,-34.4187,19.2345,60.01,91,100,5.99,overcast clouds
100,Tecoanapa,MX,16.5167,-98.75,82.8,57,26,8.1,scattered clouds
101,Tasiilaq,GL,65.6145,-37.6368,21.2,68,98,4.74,overcast clouds
102,Cape Town,ZA,-33.9258,18.4232,60.01,94,0,4.61,clear sky
103,Palauig,PH,15.435,119.9045,81.97,74,100,3.96,overcast clouds
104,Klaksvik,FO,62.2266,-6.589,32.0,86,4,3.44,clear sky
105,Ponta Do Sol,PT,32.6667,-17.1,59.0,67,86,5.01,overcast clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,94,75,9.22,broken clouds
107,Labuhan,ID,-6.8844,112.2051,77.27,77,48,5.64,scattered clouds
108,Mutsu,JP,41.2894,141.2169,51.8,35,20,19.57,few clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,90,32.21,snow
110,Aloleng,PH,16.1307,119.7824,83.16,71,100,13.24,overcast clouds
111,Orlik,RU,52.5178,99.825,20.41,75,100,4.52,overcast clouds
112,Iqaluit,CA,63.7506,-68.5145,24.8,80,90,23.02,overcast clouds
113,Sabha,LY,27.0377,14.4283,71.35,19,91,13.87,overcast clouds
114,Nago,JP,26.5881,127.9761,73.4,64,20,18.41,few clouds
115,Shimoda,JP,34.6667,138.95,68.0,37,0,17.27,clear sky
116,Ukiah,US,39.1502,-123.2078,69.8,40,1,10.36,clear sky
117,Kamenka,RU,51.3223,42.7678,51.01,90,57,15.08,broken clouds
118,Castro,BR,-24.7911,-50.0119,55.44,96,25,5.35,scattered clouds
119,Cumra,TR,37.5732,32.7745,48.2,61,0,14.97,clear sky
120,Santa Ana,US,33.7456,-117.8678,69.01,63,20,11.5,few clouds
121,Kralendijk,BQ,12.15,-68.2667,80.6,69,5,19.57,clear sky
122,Verkhoyansk,RU,67.5447,133.385,15.39,82,85,4.12,overcast clouds
123,Zarubino,RU,42.63,131.0922,49.44,41,2,0.67,clear sky
124,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,75,5.75,broken clouds
125,Ak-Dovurak,RU,51.1833,90.6,23.97,49,100,4.59,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,24.8,68,40,5.75,scattered clouds
127,Haines Junction,CA,60.7522,-137.5108,48.2,46,45,12.66,scattered clouds
128,Saldanha,ZA,-33.0117,17.9442,59.0,77,87,3.44,overcast clouds
129,Oyem,GA,1.5995,11.5793,68.2,96,97,1.25,light rain
130,Mpanda,TZ,-6.3655,31.0409,62.74,98,77,0.72,broken clouds
131,Sovetskiy,RU,61.3614,63.5842,27.01,98,31,1.63,scattered clouds
132,Vostok,RU,46.4856,135.8833,40.57,25,0,9.66,clear sky
133,Vakhrushev,RU,48.9833,142.9667,37.08,79,100,12.15,overcast clouds
134,Orcopampa,PE,-15.2661,-72.3417,47.64,60,64,2.89,broken clouds
135,Laguna,US,38.421,-121.4238,73.4,40,1,14.97,clear sky
136,Saskylakh,RU,71.9167,114.0833,-3.05,95,92,2.15,overcast clouds
137,Lebu,CL,-37.6167,-73.65,55.72,94,100,4.72,overcast clouds
138,Batemans Bay,AU,-35.7167,150.1833,61.0,61,9,4.0,clear sky
139,San Luis,AR,-33.295,-66.3356,69.44,62,10,14.36,clear sky
140,Baykit,RU,61.67,96.37,21.02,92,100,3.4,overcast clouds
141,Upernavik,GL,72.7868,-56.1549,5.72,86,99,6.38,overcast clouds
142,Saint George,US,37.1041,-113.5841,78.01,10,1,2.1,clear sky
143,Torbay,CA,47.6666,-52.7314,37.0,93,90,17.27,overcast clouds
144,Swan River,CA,52.1058,-101.2676,41.0,42,100,9.22,overcast clouds
145,Nova Londrina,BR,-22.7658,-52.985,70.03,60,6,9.06,clear sky
146,Ponta Delgada,PT,37.7333,-25.6667,62.6,94,75,10.36,broken clouds
147,Tual,ID,-5.6667,132.75,82.62,75,98,7.47,overcast clouds
148,Mareeba,AU,-17.0,145.4333,75.2,94,90,4.61,moderate rain
149,Barrow,US,71.2906,-156.7887,19.4,73,1,13.8,clear sky
150,Marsaxlokk,MT,35.8419,14.5431,57.2,82,0,10.36,clear sky
151,Dalnerechensk,RU,45.9339,133.7225,51.96,24,5,9.31,clear sky
152,Luau,AO,-10.7073,22.2247,63.72,76,82,4.18,broken clouds
153,Yar-Sale,RU,66.8333,70.8333,14.23,98,99,6.29,overcast clouds
154,Hilo,US,19.7297,-155.09,84.2,51,1,17.27,clear sky
155,Port-Gentil,GA,-0.7193,8.7815,80.6,94,20,2.3,light rain
156,Gorontalo,ID,0.5412,123.0595,81.39,76,100,2.17,overcast clouds
