City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,2021-04-13 04:39:11,71.9667,102.5,24.48,87,100,12.1
1,Maniitsoq,GL,2021-04-13 04:39:12,65.4167,-52.9,28.9,74,78,8.39
2,Qurayyat,SA,2021-04-13 04:39:12,31.3318,37.3428,44.6,76,0,6.24
3,Ushuaia,AR,2021-04-13 04:39:12,-54.8,-68.3,48.2,46,40,24.16
4,Kavieng,PG,2021-04-13 04:39:13,-2.5744,150.7967,82.4,60,100,13.8
5,Cherskiy,RU,2021-04-13 04:39:13,68.75,161.3,1.8,77,24,2.21
6,Tuktoyaktuk,CA,2021-04-13 04:39:13,69.4541,-133.0374,12.2,73,75,12.66
7,Tire,TR,2021-04-13 04:39:14,38.0888,27.7351,42.8,87,15,6.91
8,Luganville,VU,2021-04-13 04:39:14,-15.5333,167.1667,83.79,74,100,7.45
9,Taoudenni,ML,2021-04-13 04:29:18,22.6783,-3.9836,84.27,13,0,6.02
10,Comoapan,MX,2021-04-13 04:39:14,18.4167,-95.1667,76.71,56,0,6.53
11,Bluff,NZ,2021-04-13 04:39:15,-46.6,168.3333,55.99,95,99,1.01
12,Geraldton,AU,2021-04-13 04:30:10,-28.7667,114.6,69.8,52,75,14.97
13,Harnosand,SE,2021-04-13 04:39:15,62.6323,17.9379,32.0,100,90,2.3
14,Katsuura,JP,2021-04-13 04:39:15,35.1333,140.3,66.2,59,75,23.02
15,Port Lincoln,AU,2021-04-13 04:29:30,-34.7333,135.8667,73.04,35,37,29.53
16,Punta Arenas,CL,2021-04-13 04:38:13,-53.15,-70.9167,44.6,76,75,16.11
17,Tomelloso,ES,2021-04-13 04:39:16,39.1522,-3.0243,46.99,89,91,4.34
18,Port Alfred,ZA,2021-04-13 04:39:16,-33.5906,26.891,68.13,93,100,6.58
19,Avarua,CK,2021-04-13 04:39:16,-21.2078,-159.775,80.6,69,6,3.44
20,Hilo,US,2021-04-13 04:39:17,19.7297,-155.09,77.0,57,20,8.05
21,Dunedin,NZ,2021-04-13 04:30:13,-45.8742,170.5036,57.0,84,100,1.99
22,Mar Del Plata,AR,2021-04-13 04:38:21,-38.0023,-57.5575,62.01,87,0,5.75
23,Aketi,CD,2021-04-13 04:36:13,2.7388,23.7833,69.4,98,100,2.21
24,Beringovskiy,RU,2021-04-13 04:39:17,63.05,179.3167,13.89,89,100,21.9
25,Kapaa,US,2021-04-13 04:39:17,22.0752,-159.319,73.4,73,40,18.41
26,Rawson,AR,2021-04-13 04:39:18,-43.3002,-65.1023,65.1,52,0,8.61
27,Rikitea,PF,2021-04-13 04:39:18,-23.1203,-134.9692,78.35,69,3,9.22
28,Itoman,JP,2021-04-13 04:39:18,26.1247,127.6694,80.01,78,20,8.05
29,Misratah,LY,2021-04-13 04:39:19,32.3754,15.0925,61.97,80,19,6.17
30,Busselton,AU,2021-04-13 04:39:19,-33.65,115.3333,63.0,67,100,5.99
31,Upernavik,GL,2021-04-13 04:39:19,72.7868,-56.1549,23.18,97,100,5.03
32,Hay River,CA,2021-04-13 04:39:20,60.8156,-115.7999,37.4,41,92,12.66
33,Alem Paraiba,BR,2021-04-13 04:39:20,-21.8878,-42.7044,64.98,91,1,4.65
34,Bethel,US,2021-04-13 04:39:20,41.3712,-73.414,44.01,84,100,1.99
35,Lansdale,US,2021-04-13 04:35:16,40.2415,-75.2838,48.2,87,90,1.95
36,San Patricio,US,2021-04-13 04:39:20,28.017,-97.5169,77.0,88,90,13.8
37,Bela,IN,2021-04-13 04:39:21,25.9333,81.9833,104.04,5,0,9.31
38,Flin Flon,CA,2021-04-13 04:39:21,54.7682,-101.865,25.36,77,100,12.53
39,Bredasdorp,ZA,2021-04-13 04:39:21,-34.5322,20.0403,62.6,88,35,4.61
40,Faya,SA,2021-04-13 04:39:22,18.3851,42.4509,64.4,48,0,11.5
41,Yugorsk,RU,2021-04-13 04:39:22,61.3133,63.3319,42.67,64,97,12.37
42,Pevek,RU,2021-04-13 04:39:22,69.7008,170.3133,-5.78,91,74,4.07
43,Saint George,US,2021-04-13 04:37:04,37.1041,-113.5841,68.0,11,1,18.41
44,Beisfjord,NO,2021-04-13 04:39:23,68.3751,17.5988,28.4,74,40,2.3
45,Ibaiti,BR,2021-04-13 04:39:23,-23.8486,-50.1878,66.99,99,49,3.0
46,Arraial Do Cabo,BR,2021-04-13 04:39:23,-22.9661,-42.0278,76.66,80,18,18.48
47,Cape Town,ZA,2021-04-13 04:38:06,-33.9258,18.4232,60.01,100,2,1.14
48,Takaka,NZ,2021-04-13 04:39:24,-40.85,172.8,59.0,87,45,5.99
49,Nadym,RU,2021-04-13 04:30:19,65.5333,72.5167,32.94,77,51,25.86
50,Pecos,US,2021-04-13 04:39:24,31.4229,-103.4932,66.2,26,1,12.66
51,Yellowknife,CA,2021-04-13 04:37:44,62.456,-114.3525,23.0,63,75,24.16
52,Port Macquarie,AU,2021-04-13 04:39:24,-31.4333,152.9167,71.6,46,0,5.75
53,Mattru,SL,2021-04-13 04:39:25,7.6244,-11.8332,76.41,89,87,2.24
54,Tiksi,RU,2021-04-13 04:39:25,71.6872,128.8694,19.33,74,32,11.3
